"Ensembl_gene_identifier","Symbol","type_of_gene"
"ENSG00000121410","A1BG","protein-coding"
"ENSG00000175899","A2M","protein-coding"
"ENSG00000256069","A2MP1","pseudo"
"ENSG00000171428","NAT1","protein-coding"
"ENSG00000156006","NAT2","protein-coding"
"ENSG00000196136","SERPINA3","protein-coding"
"ENSG00000114771","AADAC","protein-coding"
"ENSG00000127837","AAMP","protein-coding"
"ENSG00000129673","AANAT","protein-coding"
"ENSG00000090861","AARS1","protein-coding"
"ENSG00000183044","ABAT","protein-coding"
"ENSG00000165029","ABCA1","protein-coding"
"ENSG00000107331","ABCA2","protein-coding"
"ENSG00000167972","ABCA3","protein-coding"
"ENSG00000131269","ABCB7","protein-coding"
"ENSG00000204574","ABCF1","protein-coding"
"ENSG00000198691","ABCA4","protein-coding"
"ENSG00000097007","ABL1","protein-coding"
"ENSG00000002726","AOC1","protein-coding"
"ENSG00000143322","ABL2","protein-coding"
"ENSG00000175164","ABO","protein-coding"
"ENSG00000159842","ABR","protein-coding"
"ENSG00000060971","ACAA1","protein-coding"
"ENSG00000278540","ACACA","protein-coding"
"ENSG00000076555","ACACB","protein-coding"
"ENSG00000115361","ACADL","protein-coding"
"ENSG00000117054","ACADM","protein-coding"
"ENSG00000122971","ACADS","protein-coding"
"ENSG00000196177","ACADSB","protein-coding"
"ENSG00000072778","ACADVL","protein-coding"
"ENSG00000075239","ACAT1","protein-coding"
"ENSG00000120437","ACAT2","protein-coding"
"ENSG00000108684","ASIC2","protein-coding"
"ENSG00000110881","ASIC1","protein-coding"
"ENSG00000087085","ACHE","protein-coding"
"ENSG00000131473","ACLY","protein-coding"
"ENSG00000122729","ACO1","protein-coding"
"ENSG00000100312","ACR","protein-coding"
"ENSG00000100412","ACO2","protein-coding"
"ENSG00000161533","ACOX1","protein-coding"
"ENSG00000143727","ACP1","protein-coding"
"ENSG00000134575","ACP2","protein-coding"
"ENSG00000102575","ACP5","protein-coding"
"ENSG00000014257","ACP3","protein-coding"
"ENSG00000134940","ACRV1","protein-coding"
"ENSG00000143632","ACTA1","protein-coding"
"ENSG00000107796","ACTA2","protein-coding"
"ENSG00000075624","ACTB","protein-coding"
"ENSG00000159251","ACTC1","protein-coding"
"ENSG00000184009","ACTG1","protein-coding"
"ENSG00000163017","ACTG2","protein-coding"
"ENSG00000130402","ACTN4","protein-coding"
"ENSG00000136518","ACTL6A","protein-coding"
"ENSG00000072110","ACTN1","protein-coding"
"ENSG00000077522","ACTN2","protein-coding"
"ENSG00000248746","ACTN3","protein-coding"
"ENSG00000115170","ACVR1","protein-coding"
"ENSG00000135503","ACVR1B","protein-coding"
"ENSG00000121989","ACVR2A","protein-coding"
"ENSG00000114739","ACVR2B","protein-coding"
"ENSG00000139567","ACVRL1","protein-coding"
"ENSG00000243989","ACY1","protein-coding"
"ENSG00000119640","ACYP1","protein-coding"
"ENSG00000170634","ACYP2","protein-coding"
"ENSG00000196839","ADA","protein-coding"
"ENSG00000151651","ADAM8","protein-coding"
"ENSG00000137845","ADAM10","protein-coding"
"ENSG00000160710","ADAR","protein-coding"
"ENSG00000197381","ADARB1","protein-coding"
"ENSG00000185736","ADARB2","protein-coding"
"ENSG00000164742","ADCY1","protein-coding"
"ENSG00000078295","ADCY2","protein-coding"
"ENSG00000138031","ADCY3","protein-coding"
"ENSG00000173175","ADCY5","protein-coding"
"ENSG00000174233","ADCY6","protein-coding"
"ENSG00000121281","ADCY7","protein-coding"
"ENSG00000155897","ADCY8","protein-coding"
"ENSG00000162104","ADCY9","protein-coding"
"ENSG00000141433","ADCYAP1","protein-coding"
"ENSG00000078549","ADCYAP1R1","protein-coding"
"ENSG00000087274","ADD1","protein-coding"
"ENSG00000075340","ADD2","protein-coding"
"ENSG00000148700","ADD3","protein-coding"
"ENSG00000147872","PLIN2","protein-coding"
"ENSG00000187758","ADH1A","protein-coding"
"ENSG00000196616","ADH1B","protein-coding"
